Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
GROWTH STRATEGY,1.10,,5,21.83,37.43,0.58
GROWTH STRATEGY,1.1,,4,6.07,30.83,0.2
LIFECYCLE - AGE 0-54,1.09,,7,20.7,30.32,0.68
AUSTRALIAN FINANCIALS FUND,0.58,,6,18.51,30.03,0.62
US SMALL CAP FUND,0.56,,6,20.04,22.98,0.87
AUSTRALIAN PROPERTY FUND,0.55,,5,1.28,22.55,0.06
AUSTRALIAN RESOURCES FUND,0.58,,6,17.9,22.37,0.8
AUSTRALIAN MID CAP FUND,0.58,,6,25.38,22.32,1.14
AUSTRALIAN PROPERTY FUND,0.58,,6,13.25,22.2,0.6
JUNO GROWTH FUND,0.47,,3,21.3,21.12,1.01
ARK DISRUPTIVE INNOVATION FUND,1.25,,3,-41.97,21.12,-1.99
NZ DIVIDEND FUND,0.55,,5,5.78,20.8,0.28
INTERNATIONAL PROPERTY FUND,1,,6,9.38,20.66,0.45
AUSTRALIAN RESOURCES FUND,0.55,,5,4.69,20.66,0.23
US EQUITIES FUND,0.53,,6,14.79,20.64,0.72
GLOBAL PROPERTY FUND,0.46,,5,3.86,20.27,0.19
AUSTRALIAN SHARES FUND,0.58,,6,17.09,19.69,0.87
LIFECYCLE - AGE 65,1.04,,7,13.03,19.66,0.66
AMP INTERNATIONAL SHARES FUND NO. 2,0.73,,4,9.31,19.49,0.48
MILFORD KIWISAVER AGGRESSIVE FUND,1.14,,5,14.36,19.4,0.74
INVESTNOW HARBOUR T. ROWE PRICE GLOBAL EQUITY FUND,1.1,,3,-5.89,19.26,-0.31
AUSTRALIAN RESOURCES ETF FUND,0.35,,5,24.26,19.14,1.27
NZ PROPERTY FUND,0.55,,5,14.76,18.8,0.79
GLOBAL PROPERTY FUND,0.57,,6,10.42,18.7,0.56
EMERGING MARKETS EQUITIES FUND,0.47,,5,7.31,18.46,0.4
AUSTRALIAN TOP 20 FUND,0.58,,6,14.44,18.4,0.78
INVESTNOW CLARITY GLOBAL SHARES FUND,0.66,,3,7.97,18.26,0.44
GEARED GROWTH FUND,1.47,,2,-7.33,18.0,-0.41
US LARGE VALUE FUND,0.56,,6,13.89,17.92,0.78
GROWTH FUND,0.3,,2,-2.39,17.86,-0.13
INFLATION STRATEGY,1.05,,9,7.17,17.78,0.4
AUSTRALIAN DIVIDEND FUND,0.58,,6,9.5,17.39,0.55
LIFECYCLE - AGE 75,1.03,,7,11.35,17.37,0.65
GLOBAL SHARES FUND,1.15,,4,7.92,17.35,0.46
SUSTAINABLE PLUS SHARES FUND,0.9,,4,6.0,17.17,0.35
OVERSEAS SHARES (CURRENCY HEDGED) FUND,0.57,,6,17.48,17.04,1.03
EMERGING MARKETS,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,5,2,21.0,16.81,1.25
REST OF WORLD EQUITIES FUND,0.51,,5,8.48,16.8,0.5
GLOBAL EQUITIES FUND,1,,4,6.54,16.67,0.39
SUPERLIFE GROWTH FUND,0.60,,3,11.09,16.55,0.67
AUSTRALIAN DIVIDEND FUND,0.55,,5,-0.55,16.3,-0.03
NZ DIVIDEND FUND,0.58,,6,8.94,16.21,0.55
NZ MID CAP FUND,0.55,,5,7.84,16.17,0.48
SUSTAINABLE PLUS HIGH GROWTH FUND,0.82,,4,7.37,15.9,0.46
LIFESTAGES HIGH GROWTH FUND,0.80,,4,9.38,15.89,0.59
LIFESTAGES AUTO OPTION AGE 0 - 34,0.80,,4,9.38,15.89,0.59
NEW ZEALAND EQUITIES FUND,0.63,,6,8.01,15.75,0.51
